Group ID,Plant Type,Height,QY (Dark),QY (Light)
H,Basil,9,0.81,0.73
H,Basil,13,0.8,0.75
H,Basil,8.5,0.81,0.73
H,Basil,10.75,0.79,0.71
H,Tomato,5,0.83,0.74
H,Tomato,6.5,0.82,0.72
H,Tomato,6.5,0.82,0.74
H,Tomato,7,0.82,0.73
P,Basil,12.5,0.79,0.39
P,Basil,8,0.66,0.4
P,Basil,6.5,0.66,0.39
P,Basil,12.25,0.81,0.34
P,Tomato,6,0.74,0.31
P,Tomato,4.5,0.67,0.39
P,Tomato,4,0.8,0.44
P,Tomato,6,0.78,0.43
G,Basil,8,0.8,0.59
G,Basil,21.5,0.79,0.65
G,Basil,6.5,0.79,0.6
G,Basil,6.25,0.79,0.56
G,Tomato,5,0.82,0.59
G,Tomato,4.5,0.82,0.59
G,Tomato,6,0.83,0.56
G,Tomato,5.5,0.82,0.52
D,Basil,9,0.76,0.46
D,Basil,12.5,0.69,0.33
D,Basil,11,0.63,0.44
D,Basil,10,0.71,0.45
D,Tomato,7,0.82,0.53
D,Tomato,6,0.81,0.67
D,Tomato,7,0.83,0.55
D,Tomato,5.5,0.81,0.6
