Day ID,Group ID,Plant ID,NPQ_1,NPQ_2,NPQ_3,NPQ_4,NPQ_Lss,QY_1,QY_2,QY_3,QY_4,QY_5,QY_6
1,H,Basil,0.18,0.37,0.39,0.39,0.39,0.6,0.64,0.6,0.57,0.38,0.29
1,H,Tomato,0.04,0.24,0.32,0.34,0.35,0.55,0.58,0.54,0.52,0.38,0.28
1,P,Basil,0.15,0.43,0.5,0.53,0.53,0.55,0.57,0.52,0.49,0.37,0.3
1,P,Tomato,0.18,0.68,0.83,0.88,0.91,0.56,0.58,0.55,0.53,0.38,0.29
1,G,Basil,0,0.16,0.28,0.34,0.36,0.64,0.64,0.57,0.54,0.41,0.31
1,G,Tomato,0,0.17,0.22,0.24,0.25,0.55,0.57,0.54,0.52,0.4,0.32
1,D,Basil,-0.04,0.12,0.16,0.17,0.17,0.66,0.65,0.6,0.55,0.39,0.29
1,D,Tomato,0.02,0.26,0.33,0.35,0.36,0.61,0.63,0.6,0.58,0.46,0.37
2,H,Basil,0.03,0.25,0.3,0.31,0.31,0.63,0.66,0.62,0.56,0.3,0.19
2,H,Tomato,-0.05,0.07,0.14,0.15,0.17,0.47,0.53,0.54,0.5,0.32,0.22
2,P,Basil,0.01,0.16,0.25,0.29,0.3,0.45,0.41,0.37,0.33,0.21,0.16
2,P,Tomato,-0.04,0.07,0.14,0.2,0.23,0.49,0.5,0.47,0.44,0.3,0.22
2,G,Basil,-0.02,0.13,0.19,0.19,0.19,0.67,0.66,0.6,0.55,0.37,0.28
2,G,Tomato,0.05,0.32,0.41,0.42,0.43,0.56,0.59,0.57,0.56,0.44,0.34
2,D,Basil,0.03,0.11,0.17,0.18,0.18,0.51,0.46,0.4,0.33,0.2,0.15
2,D,Tomato,-0.03,0.2,0.3,0.33,0.34,0.6,0.62,0.59,0.57,0.41,0.31
