Treatment,Date,Basil Mean QY,Basil Std,Tomato Mean QY,Tomato Std
10%,4/19,0.42,0.0224,0.46,0.0534
10%,4/22,0.75,0.0122,0.77,0.0071
10%,4/25,0.7475,0.0043,0.7675,0.0043
10%,4/28,0.73,0.0141,0.7325,0.0083
100%,4/19,0.4975,0.0377,0.4425,0.087
100%,4/22,0.5325,0.0779,0.415,0.1324
100%,4/25,0.4825,0.0109,0.435,0.1598
100%,4/28,0.38,0.0235,0.3925,0.0512
50%,4/19,0.4575,0.0567,0.485,0.0403
50%,4/22,0.59,0.1271,0.5975,0.0466
50%,4/25,0.6775,0.0363,0.6925,0.0043
50%,4/28,0.6,0.0324,0.565,0.0287
Misc,4/19,0.425,0.0669,0.475,0.0335
Misc,4/22,0.5475,0.095,0.6,0.0
Misc,4/25,0.6425,0.0502,0.6925,0.013
Misc,4/28,0.42,0.0524,0.5875,0.054
